"cityID","cityName","cityImg","cityScore"
41,"Nice","https://turkishairlinesblog.b-cdn.net/wp-content/uploads/2023/10/nice-gezilecek-yerler.jpg","4.5"
17,"Oslo","https://www.suustunde.com/content/files/2020/11/M_264632177_NWS-vyMuLzEpJSf5sFeqODsB.jpg","4.1"
40,"Palermo","https://news.cgtn.com/news/2023-06-04/Palermo-ranks-among-dream-destinations-in-Italy-1kmtXCzNeUg/img/3124ea2cf1a24c3081affa469164e46d/3124ea2cf1a24c3081affa469164e46d.jpeg","4.2"
19,"Riga","https://investgc.com/wp-content/uploads/2023/07/letonya-nasil-gidilir.jpg","3.9"
18,"Tallinn","https://images.musement.com/cover/0129/92/thumb_12891757_cover_header.jpeg?q=50&fit=crop&auto=format&w=1024&h=400","4.0"
37,"Venedik","https://live.staticflickr.com/7457/10318350053_af27f7059f_c.jpg","4.5"
20,"Vilnius","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a8/ef/3a/widok-z-gory.jpg?w=600&h=400&s=1","3.8"
10,"Dublin","https://images.adsttc.com/media/images/5bd6/fd00/f197/ccaa/4a00/027c/newsletter/shutterstock_1116656705.jpg?1540816099","3.9"
7,"Viyana","https://yinegidiyoruz.com/wp-content/uploads/2021/06/viyana-kapak.jpg","4.2"
4,"Barselona","https://www.arkitera.com/wp-content/uploads/2022/12/barselona.webp","4.5"
15,"Stockholm","https://a.cdn-hotels.com/gdcs/production160/d1943/a0fe0b3e-1469-412a-a45e-276f65e77702.jpg?impolicy=fcrop&w=800&h=533&q=medium","4.3"
21,"St. Petersburg","https://ourboox-media-prod.s3.eu-west-1.amazonaws.com/wp-content/uploads/2021/01/11191213/ST.PETERSBURG.jpg-J.jpg","4.7"
1,"Paris","https://as2.ftcdn.net/v2/jpg/02/14/74/11/1000_F_214741146_jApjeGkU3GSPSpLhzyMsupP7frpAh1XH.jpg","4.8"
2,"Roma","https://www.lezzetarayanlara.com/class/INNOVAEditor/assets/roma%20colessium.jpg","4.7"
12,"Lizbon","https://www.flypgs.com/blog/wp-content/uploads/2024/03/lizbonda-ucretsiz-olarak-yapabilecegin-seyler.jpg","4.6"
6,"Prag","https://media.istockphoto.com/id/628365610/tr/foto%C4%9Fraf/vltava-river-and-charles-bridge-in-prague.jpg?s=612x612&w=0&k=20&c=oRQpV2un6E4HaZxyyEXEI27q6XwUwGtlUuIicmHGS-0=","4.3"
11,"Krakow","https://www.flypgs.com/blog/wp-content/uploads/2023/07/krakow-hakkinda-bilmen-gerekenler.jpg","4.7"
30,"Hamburg","https://cdnp.flypgs.com/files/Sehirler-long-tail/Hamburg/hamburg-liman.jpg","3.8"
38,"Floransa","https://pavaedu.com/wp-content/uploads/2023/02/Floransada-Kalacak-Yer-Secenekleri.jpg","4.4"
26,"Zürih","https://media.radissonhotels.net/image/destination-pages/local-attraction/16256-118729-f63223220_3xl.jpg?impolicy=Card","4.2"
